86.3	813358	803279	810770	803792	812256	804545	811650	802841
86.3	814704	804177	813947	804698	813562	805440	813815	804571
86.3	817715	805811	815277	805130	813619	804788	812821	804399
86.3	814458	804921	814174	806019	812761	803717	813764	802697
86.3	811053	805250	811479	803053	810929	802467	811819	802216
86.3	816280	806032	811106	805014	812710	804133	813991	806117
86.3	813496	802936	814383	803332	813240	802752	812869	803167
86.3	813386	805572	812067	804993	812810	803166	812272	803470
86.3	814346	804289	813185	804648	812302	804547	814168	804984
86.3	812938	804826	814335	803387	814527	803740	809929	802536
86.3	815714	804006	813808	804730	813016	803051	810068	801725
86.3	813312	803567	810509	803884	817059	806112	812770	805244
86.3	813017	806177	814808	805941	813056	803253	813625	802966
86.3	814773	803838	813710	803725	816466	804524	815257	802709
86.3	814777	803795	811651	804074	815146	803176	812495	802153
86.3	811494	804660	812165	805428	811809	803574	813233	802075
86.3	813003	803499	813028	804326	813372	804166	812798	801360
86.3	812753	803746	813115	804193	815035	804800	813960	805140
86.3	814712	803663	812429	804166	814109	805289	811522	803132
86.3	815275	804387	814090	804299	812108	803998	811671	802788
86.3	811118	800470	809632	801861	812453	803782	811773	802510
86.3	812852	803649	813466	803364	816169	804103	811660	803575
86.3	814759	804411	813191	804536	815956	804589	812910	804232
86.3	815243	805671	813840	806586	812769	803084	809623	801559
86.3	816762	805363	816914	804845	811626	801932	810223	802259
86.3	814342	805118	812605	802646	812616	804557	812031	802456
86.3	814524	804304	815165	804758	813313	804084	809989	804362
86.3	813298	805145	812148	803993	813062	804703	811149	803667
86.3	814850	806749	813045	804549	814837	806318	812426	804076
86.3	815064	804794	812257	804154	812719	803898	813717	803260
86.3	811915	803368	812421	801871	814134	804090	814693	804018
86.3	814154	803795	814146	805209	810857	800411	811548	799230
86.3	810179	801464	809042	801285	813026	803248	810666	803574
86.3	812950	804213	811989	803717	813837	806003	813555	803156
86.3	811024	802626	809896	802815	811757	802427	813649	802687
86.3	813667	804674	812713	804617	810015	802560	809101	802006
86.3	816186	805028	813573	805206	810458	801805	809593	802975
86.3	813202	803630	812512	803998	811675	803500	810483	805518
86.3	812796	804396	814131	804090	810066	800266	809582	800373
86.3	813316	804231	812903	804380	811424	804082	813654	804004
86.3	814386	806121	811832	804883	812970	803962	811920	802971
86.3	814884	803750	813953	804207	811850	804892	813513	802579
86.3	816306	803767	813245	802674	815045	806753	805577	804962
86.3	812969	804826	812542	802662	812248	803351	809655	802451
86.3	815293	803785	811944	805050	811697	802184	812095	802396
86.3	813824	804598	813216	804052	812769	803832	813559	803924
86.3	809537	804510	808177	804124	811802	803044	812170	803714
86.3	810173	803783	809935	801557	814007	805130	812890	804362
86.3	812732	805551	811747	805663	812545	803095	812584	804935
86.3	814524	805546	813846	803755	810914	802179	812835	802770
86.3	812886	804491	811681	804079	803382	803103	811261	803185
86.3	812334	803243	812815	804232	804215	803108	812585	801762
86.3	812409	805947	812356	803262	813752	805573	811516	804085
86.3	813425	807381	813663	805715	813382	803523	815151	804246
86.3	810548	803010	812743	802720	812949	802394	810721	802750
86.3	809230	803646	810556	803164	811616	802932	808629	801929
86.3	809228	804577	810936	803587	814695	805922	814499	804363
86.3	807917	800053	808018	800793	812963	800577	808855	800894
86.3	813272	803481	813453	804205	813709	804669	813740	805391
86.3	815300	805446	811861	806136	812959	802828	810754	802584
86.3	815072	804184	812655	805253	815027	805945	812524	804565
86.29	814009	802806	811659	803257	810289	802532	813377	802983
86.29	813679	804008	812487	804153	810944	802636	812183	803460
86.29	813000	804512	813712	803748	810541	802100	811229	802729
86.29	816096	806538	815762	806267	813777	803235	810191	804218
86.29	811769	805257	812745	802847	812706	802758	811489	802807
86.29	811611	803989	812645	803794	811201	803606	810373	802376
86.29	813205	804352	813955	805116	813202	803920	813953	803851
86.29	814173	805942	810826	802733	805858	805154	815009	803753
86.29	815002	805943	813834	804014	811805	802979	809615	804518
86.29	811780	803812	810688	801866	805040	803536	811058	802924
86.29	813106	805291	810298	803655	816146	804318	812500	804343
86.29	811215	803622	810602	804059	811550	802933	810233	803213
86.29	812335	805789	811168	803405	814038	806114	813861	805619
86.29	811725	804706	811358	803741	812017	804306	810929	803096
86.29	815114	804107	814841	804647	811791	803150	810286	803174
86.29	810235	804329	809031	803480	803625	805865	810992	803131
86.29	813367	804235	811951	803515	813242	803947	812571	803092
86.29	812881	804983	812928	803398	809725	802006	811627	803404
86.29	809744	800879	807676	802091	812866	804538	811422	803638
86.29	813775	804898	812253	804720	804335	804242	811304	803613
86.29	809782	807515	809647	805105	810899	811955	803597	802724
86.29	813875	812714	804057	805160	815413	811308	803361	803245
86.29	811321	812474	803557	803707	811696	811001	803754	802607
86.29	811785	812932	803976	803791	811159	812940	803373	802592
86.29	811482	812509	802691	803494	810787	811671	802933	803164
86.29	814052	815671	804780	804157	810094	812828	803185	803705
86.29	811046	809644	802699	802606	812455	812106	803371	803636
86.29	811175	811782	801999	802600	813847	812178	804738	804488
86.29	815793	816083	806751	804529	810709	812561	803439	804223
86.29	814838	813913	803321	803100	813921	813094	806030	805301
